Timestamp,Topic,ID,Region,Pressure,Radiation,Temperature,Humidity
"2025-07-17 16:40:27.174","formatted/realtime/South/2","2","South","1020.06","507.04","314.81","76.46"
"2025-07-17 16:40:27.437","formatted/realtime/North/1","1","North","979.95","1300.46","269.65","16.45"
"2025-07-17 16:40:29.345","formatted/realtime/South/2","2","South","1049.11","391.91","260.26","79.41"
"2025-07-17 16:40:30.146","formatted/realtime/North/1","1","North","1048.45","849.05","282.45","1.32"
"2025-07-17 16:40:34.064","formatted/realtime/North/1","1","North","998.77","1265.44","307.40","99.66"
"2025-07-17 16:40:34.282","formatted/realtime/South/2","2","South","1008.59","1379.81","273.77","51.92"
"2025-07-17 16:40:36.472","formatted/realtime/South/2","2","South","1032.00","551.49","259.07","60.15"
"2025-07-17 16:40:36.848","formatted/realtime/North/1","1","North","976.51","534.56","290.91","56.84"
"2025-07-17 16:40:39.141","formatted/realtime/North/1","1","North","1044.75","359.54","296.76","92.37"
"2025-07-17 16:40:39.781","formatted/realtime/South/2","2","South","1015.28","422.69","311.22","59.28"
"2025-07-17 16:40:41.321","formatted/realtime/North/1","1","North","958.21","665.76","318.13","36.56"
"2025-07-17 16:40:42.708","formatted/realtime/South/2","2","South","978.88","1269.49","282.65","62.72"
"2025-07-17 16:40:46.052","formatted/realtime/South/2","2","South","981.62","609.86","298.32","38.92"
"2025-07-17 16:40:46.179","formatted/realtime/North/1","1","North","953.00","1386.66","266.63","69.69"
"2025-07-17 16:40:48.65","formatted/realtime/South/2","2","South","1031.14","61.65","283.12","44.47"
"2025-07-17 16:40:49.472","formatted/realtime/North/1","1","North","970.87","1034.16","300.37","74.34"
"2025-07-17 16:40:51.473","formatted/realtime/South/2","2","South","1003.08","133.57","293.40","36.65"
"2025-07-17 16:40:52.041","formatted/realtime/North/1","1","North","1038.17","390.60","313.05","62.47"
"2025-07-17 16:40:53.928","formatted/realtime/South/2","2","South","1033.51","1250.51","293.59","37.90"
"2025-07-17 16:40:56.584","formatted/realtime/North/1","1","North","1020.36","394.68","283.35","40.28"
"2025-07-17 16:40:58.434","formatted/realtime/South/2","2","South","960.18","419.17","270.24","87.66"
"2025-07-17 16:41:00.328","formatted/realtime/North/1","1","North","965.90","1338.67","302.75","38.85"
"2025-07-17 16:41:01.078","formatted/realtime/South/2","2","South","995.13","1163.38","307.81","6.30"
"2025-07-17 16:41:03.585","formatted/realtime/North/1","1","North","956.85","438.32","280.70","66.06"
"2025-07-17 16:41:05.168","formatted/realtime/South/2","2","South","1037.54","274.14","296.13","73.16"
"2025-07-17 16:41:07.373","formatted/realtime/North/1","1","North","1047.51","1080.76","262.90","93.39"
"2025-07-17 16:41:07.776","formatted/realtime/South/2","2","South","1047.78","838.12","287.47","81.13"
"2025-07-17 16:41:09.98","formatted/realtime/North/1","1","North","983.12","545.77","278.33","50.15"
"2025-07-17 16:41:12.252","formatted/realtime/South/2","2","South","1010.21","377.99","270.02","27.15"
"2025-07-17 16:41:13.139","formatted/realtime/North/1","1","North","963.17","532.29","289.15","89.86"
"2025-07-17 16:41:16.391","formatted/realtime/North/1","1","North","1013.22","33.85","292.55","50.36"
"2025-07-17 16:41:16.609","formatted/realtime/South/2","2","South","1040.72","1296.26","286.68","15.83"
"2025-07-17 16:41:19.64","formatted/realtime/South/2","2","South","969.37","1288.63","305.24","1.09"
"2025-07-17 16:41:20.92","formatted/realtime/North/1","1","North","970.16","1278.42","312.48","62.15"
"2025-07-17 16:41:23.41","formatted/realtime/South/2","2","South","952.83","470.93","297.81","28.98"
"2025-07-17 16:41:25.065","formatted/realtime/North/1","1","North","1005.13","1182.81","316.86","88.25"
"2025-07-17 16:41:27.795","formatted/realtime/South/2","2","South","987.69","448.19","304.52","23.11"
"2025-07-17 16:41:29.59","formatted/realtime/North/1","1","North","1033.12","783.45","294.11","64.89"
"2025-07-17 16:41:30.044","formatted/realtime/South/2","2","South","982.35","115.65","311.32","32.12"
"2025-07-17 16:41:32.307","formatted/realtime/North/1","1","North","1024.68","135.85","265.70","73.24"
"2025-07-17 16:41:33.889","formatted/realtime/South/2","2","South","1000.76","280.27","317.30","96.18"
"2025-07-17 16:41:35.549","formatted/realtime/North/1","1","North","1028.50","422.25","276.52","0.08"
"2025-07-17 16:41:38.53","formatted/realtime/South/2","2","South","964.31","690.01","280.52","84.72"
"2025-07-17 16:41:40.055","formatted/realtime/North/1","1","North","951.95","291.85","278.97","3.62"
"2025-07-17 16:41:43.016","formatted/realtime/North/1","1","North","982.15","699.94","294.51","32.87"
"2025-07-17 16:41:43.025","formatted/realtime/South/2","2","South","1027.35","1390.38","280.81","86.84"
"2025-07-17 16:41:47.145","formatted/realtime/North/1","1","North","1038.13","785.20","303.35","6.56"
"2025-07-17 16:41:47.914","formatted/realtime/South/2","2","South","1021.95","472.95","296.43","28.69"
"2025-07-17 16:41:50.861","formatted/realtime/North/1","1","North","1039.87","177.42","285.71","91.49"
"2025-07-17 16:41:52.034","formatted/realtime/South/2","2","South","1036.18","476.42","318.95","14.64"
"2025-07-17 16:41:54.833","formatted/realtime/South/2","2","South","981.29","223.84","309.02","40.76"
"2025-07-17 16:41:55.841","formatted/realtime/North/1","1","North","977.84","964.22","277.86","98.73"
"2025-07-17 16:41:58.325","formatted/realtime/South/2","2","South","1025.99","892.07","301.69","46.35"
"2025-07-17 16:42:00.328","formatted/realtime/North/1","1","North","997.50","385.99","290.41","0.36"
"2025-07-17 16:42:01.397","formatted/realtime/South/2","2","South","981.53","1322.37","301.43","5.68"
"2025-07-17 16:42:04.046","formatted/realtime/South/2","2","South","994.61","1363.76","310.66","78.67"
"2025-07-17 16:42:04.775","formatted/realtime/North/1","1","North","1020.26","78.88","261.14","10.09"
"2025-07-17 16:42:07.719","formatted/realtime/North/1","1","North","1045.79","1311.49","291.32","68.22"
"2025-07-17 16:42:08.983","formatted/realtime/South/2","2","South","960.71","934.60","305.30","52.47"
"2025-07-17 16:42:10.602","formatted/realtime/North/1","1","North","958.15","977.39","259.32","78.49"
"2025-07-17 16:42:13.612","formatted/realtime/South/2","2","South","1027.97","67.11","268.53","10.83"
"2025-07-17 16:42:14.621","formatted/realtime/North/1","1","North","989.22","1082.79","262.70","90.46"
"2025-07-17 16:42:17.338","formatted/realtime/South/2","2","South","951.06","404.85","279.11","70.75"
"2025-07-17 16:42:17.391","formatted/realtime/North/1","1","North","1040.50","582.03","261.75","71.84"
"2025-07-17 16:42:20.427","formatted/realtime/South/2","2","South","1011.89","688.28","295.69","29.42"
"2025-07-17 16:42:33.414","formatted/realtime/North/1","1","North","1008.37","18.74","321.40","25.78"
"2025-07-17 16:42:33.455","formatted/realtime/South/2","2","South","960.41","680.39","256.10","68.57"
"2025-07-17 16:42:37.443","formatted/realtime/North/1","1","North","1018.85","1026.98","309.61","62.41"
